Time;AMF_UE_NGAP_ID;ip_source;procedureCode;EPD;spare;SecHdr;Type;NAS_KSI;5GSRegType;5GSID;UESecCap;PayloadContainerType;PayloadContainer;RES;Seqn;EPD_2;spare_2;SecHdr_2;NASSecAlgo;EPD_3;spare_3;SecHdr_3;Type_2
5.777531;20;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
5.777847;20;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
5.777941;20;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
5.96883;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
5.973873;21;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
5.974049;21;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
5.975115;21;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
5.975278;21;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
5.995062;21;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
5.995339;21;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
5.995435;21;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
6.168744;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
6.170534;22;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
6.170728;22;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
6.171722;22;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
6.171911;22;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
6.195465;22;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
6.19578;22;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
6.195871;22;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
6.368743;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
6.377517;23;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
6.377729;23;20.0.2.10;46;126;0;0;87;;;;;;;16;;;;;;;;;
6.378772;23;20.0.20.10;4;126;0;3;93;0;;;2;;;;0;126;0;0;0;;;;
6.378932;23;20.0.2.10;46;126;0;4;94;7;1;1;2;1;None;;0;126;0;0;;126;0;0;65
6.396317;23;20.0.20.10;14;126;0;2;66;;;2;;;;;1;126;0;0;;;;;
6.396631;23;20.0.2.10;46;126;0;2;67;;;;;;;;1;126;0;0;;;;;
6.396733;23;20.0.2.10;46;126;0;2;103;;;;;1;8;;2;126;0;0;;46;;;
6.568746;-1;20.0.2.10;15;126;0;0;65;7;1;1;2;1;None;;;;;;;;;;
6.57055;24;20.0.20.10;4;126;0;0;86;0;;;;;;;;;;;;;;;
